대학교명,url,desc
연세대학교,https://admission.yonsei.ac.kr/seoul/admission/html/main/main.asp,연세대학교 입학처
연세대학교(미래),https://admission.yonsei.ac.kr/seoul/admission/html/main/main.asp,연세대학교(미래) 입학처
영남대학교,https://enter.yu.ac.kr/page/main/index.php,영남대학교 입학처
용인대학교,https://ipsi.yongin.ac.kr/index.do,용인대학교 입학처
우석대학교,https://enter.woosuk.ac.kr/main/,우석대학교 입학처
우송대학교,https://ent.wsu.ac.kr/main/index.jsp,우송대학교 입학처
울산대학교,https://www.ulsan.ac.kr/iphak/Main.do,울산대학교 입학처
원광대학교,https://ipsi.wku.ac.kr/main.do,원광대학교 입학처
유원대학교,https://ipsi.u1.ac.kr/html/ipsi/index.html,유원대학교 입학처
을지대학교,https://admission.eulji.ac.kr/,을지대학교 입학처
이화여자대학교,https://admission.ewha.ac.kr/admission/html/main/intro.asp,이화여자대학교 입학처
인제대학교,https://iphak.inje.ac.kr/intro.asp,인제대학교 입학처
인천대학교,https://admission.inu.ac.kr/mainIntro/intro.do,인천대학교 입학처
인하대학교,https://admission.inha.ac.kr/index.do,인하대학교 입학처
전남대학교,https://admission.jnu.ac.kr/indexMain.aspx,전남대학교 입학처
전북대학교,https://enter.jbnu.ac.kr/main.do,전북대학교 입학처
전주교육대학교,https://www.jnue.kr/portal/enter/main/main.do,전주교육대학교 입학처
전주대학교,https://iphak.jj.ac.kr/iphak/index.do,전주대학교 입학처
제주대학교,https://ibsi.jejunu.ac.kr/?m1=home%25,제주대학교 입학처
조선대학교,https://i.chosun.ac.kr/main,조선대학교 입학처
중부대학교,https://www.joongbu.ac.kr/index.es?sid=a6,중부대학교 입학처
중앙대학교,https://admission.cau.ac.kr/main.do,중앙대학교 입학처
중원대학교,http://ipsi.jwu.ac.kr/site/siteView.jwu,중원대학교 입학처
진주교육대학교,https://www.cue.ac.kr/enter/Main.do,진주교육대학교 입학처
차의과학대학교,https://admission.cha.ac.kr/,차의과학대학교 입학처
창신대학교,https://admission.cs.ac.kr/main.php,창신대학교 입학처
창원대학교,https://www.changwon.ac.kr/ipsi/main.do,창원대학교 입학처
청주교육대학교,https://www.cje.ac.kr/ipsi/,청주교육대학교 입학처
청주대학교,https://www.cju.ac.kr/ipsi/index.do,청주대학교 입학처
춘천교육대학교,https://enter.cnue.ac.kr/enter/index.do,춘천교육대학교 입학처
충남대학교,https://ipsi.cnu.ac.kr/intro.html,충남대학교 입학처
충북대학교,https://ipsi.chungbuk.ac.kr/,충북대학교 입학처
평택대학교,https://entrance.ptu.ac.kr/entrance/index.do,평택대학교 입학처
